Reset on a qubit in state |1⟩ ideally yields:,|1⟩,A random bit and |1⟩,|0⟩,"An error, since reset only works on |0⟩",|0⟩,Reset prepares the qubit to |0⟩ regardless of prior state (idealized).
Which gate lets you supply an arbitrary unitary matrix as an operation?,LinearFunction,UnitaryGate,DiagonalGate,PauliGate,UnitaryGate,UnitaryGate(data) applies a user‑provided unitary matrix of size 2^n×2^n.
Which gate applies a diagonal unitary specified by its diagonal entries?,PermutationGate,DiagonalGate,RVGate,UCGate,DiagonalGate,DiagonalGate(diag) is a diagonal unitary; its size implies the number of qubits.
Which gate compactly represents a reversible linear transformation over n qubits (bit‑wise XOR linear map)?,LinearFunction,PauliGate,MCMTGate,UCRZGate,LinearFunction,"LinearFunction implements a linear reversible circuit over GF(2), useful for Clifford linear maps/permutations."
PauliGate('XIZ') on 3 qubits is best described as:,A non‑unitary instruction,A composition of single‑qubit Paulis on specific wires,A diagonal gate only,Equivalent to SWAP,A composition of single‑qubit Paulis on specific wires,PauliGate is a multi‑qubit unitary that applies the listed Pauli on each qubit in parallel.
Which call produces a controlled‑X (CX) from an XGate object g?,g.power(1/2),g.control(1),g.to_matrix(),g.inverse().control(0),g.control(1),Gate.control(k) adds k controls; XGate().control(1) is CX.
What does gate.power(1/2) conceptually represent for a unitary gate?,Taking its matrix square root (a fractional power),Adding a control,Conjugate transpose,Resetting phase,Taking its matrix square root (a fractional power),"Gate.power(a) returns an operator representing the unitary raised to power a when supported (e.g., √X)."
"In ASCII below, which qubit is the control of CX?

q0: ─■──
     │
q1: ─┼──
     │
q2: ─X──",q0,q1,q2,There is no control,q0,■ denotes the control; X on q2 indicates the target; the wire from q0 connects to X on q2.
"Which two‑qubit operation does the following ASCII depict?

q0: ─X──
     │
q1: ─■──","CX with q0 control, q1 target","CX with q1 control, q0 target",CZ with q1 control,SWAP,"CX with q1 control, q0 target","Control (■) sits on q1 and target X on q0; hence control=q1, target=q0."
PauliEvolutionGate(SparsePauliOp([...])) most directly corresponds to:,Time evolution under a (Pauli) Hamiltonian,Measurement in Pauli bases,Reset then evolve,Only a diagonal phase shift,Time evolution under a (Pauli) Hamiltonian,PauliEvolutionGate implements (Suzuki‑Trotter or exact) unitary evolution generated by a Pauli‑sum Hamiltonian.
Which identity is correct for single‑qubit rotations and CZ on control-target (up to global phase)?,H(target) • CX • H(target) = CZ,S(control) • CX • Sdg(control) = CZ,H(control) • CX • H(control) = CZ,X(control) • CX • X(control) = CZ,H(target) • CX • H(target) = CZ,"Conjugating X by H maps X↔Z on the target, turning CX into CZ (up to global phase)."
