Reset is:,Unitary and reversible,A non-unitary op that prepares |0⟩ incoherently,A control-flow op,A delay-only directive,A non-unitary op that prepares |0⟩ incoherently,"Reset returns a qubit to |0⟩, collapsing entanglement."
"Delay(duration, unit) does what?",Adds a global phase e^{iθ},Instructs an idle wait on specific qubits,Forces transpiler to stop optimizing,Resets all qubits,Instructs an idle wait on specific qubits,Delay inserts real-time waits; units like 'dt' or SI seconds are supported; errors raise CircuitError.
Barrier(...) guarantees:,Hardware latency alignment,No optimizations cross the barrier,Fewer CX gates,Measurement error mitigation,No optimizations cross the barrier,"Barrier is a directive: it can be ignored by backends, but transpiler optimizations are constrained not to cross it."
"Store(lvalue, rvalue) is used to:",Write a real-time classical expression into a typed storage location,Save statevectors to disk,Store Parameters at compile-time,Append custom gates,Write a real-time classical expression into a typed storage location,Store writes Expr results (qiskit.circuit.classical) into Var memory; it takes no qubit/clbit operands.
Real-time classical expressions are built from which base class?,ParameterExpression,Expr,Parameter,Variable,Expr,qiskit.circuit.classical.expr.Expr nodes represent typed expressions evaluated during circuit execution.
Which class represents a typed storage location for real-time classical computation?,Var,Parameter,ParameterVector,Clbit,Var,Var is a typed variable in the real-time classical system; it can be inputs or created via add_var().
Compile-time parametrization of angles uses which classes?,Var and Expr,Parameter and ParameterExpression,Clbit and Qubit,Type and Var,Parameter and ParameterExpression,Parameters are symbolic and simplified at compile time; assign_parameters binds numeric values before execution.
Which statement best contrasts compile-time Parameters with real-time Expr?,Both perform floating-point arithmetic only,Parameters are symbolic (math simplification); Expr follows discrete classical types during execution,Expr simplifies algebra symbolically,Parameters are stored in Var memory during execution,Parameters are symbolic (math simplification); Expr follows discrete classical types during execution,ParameterExpression can simplify like (x+y−x)/y→1; Expr respects classical machine types and does not.
Which are Qiskit control-flow Instructions?,"IfElseOp, WhileLoopOp, ForLoopOp, SwitchCaseOp, BoxOp","Barrier, Delay, Reset","CX, CZ, CCX","Measure, Reset, Store","IfElseOp, WhileLoopOp, ForLoopOp, SwitchCaseOp, BoxOp",ControlFlowOp subclasses implement classical control flow within circuits.
get_control_flow_name_mapping() returns:,Names→gate matrices,Names→control-flow classes,Backend configs,Target coupling maps,Names→control-flow classes,It maps instruction names like 'if_else' to their corresponding ControlFlowOp class.
"Within a ControlFlowOp, subcircuit blocks must:",Use any number of bits arbitrarily,All have identical numbers/order of qubits and clbits matching the outer instruction operands,Contain only unitary gates,Be fully mutable views of the outer circuit,All have identical numbers/order of qubits and clbits matching the outer instruction operands,Blocks must be consistent so qubit/clbit mapping by zip() is well-defined; builders enforce this.
"When consuming control-flow blocks, you should treat inner block bits as:",Independent unrelated objects,The same identities as outer bits by index order mapping,Always identical Python objects,Always in reverse order,The same identities as outer bits by index order mapping,"Use qubit_map = dict(zip(block.qubits, outer.qubits)) and similar for clbits to maintain coherence."
Qiskit labels bits in bitstrings with index 0 at the:,Left-most,Right-most,Random,Middle,Right-most,Right-most bit is index 0; left-most is n−1.
"In circuit drawings, Qiskit places which bit on top?",Highest-index bit,Lowest-index bit,Random,Clbits only,Lowest-index bit,Qubit 0 is drawn at the top.
Qiskit’s statevector convention orders amplitudes such that the amplitude of |x⟩ is at index:,x reversed,x,2^x,x+1,x,Kronecker product ordering matches binary value x with statevector[x].
"For controlled gates, Qiskit argument order is:","target(s) first, then control(s)","control(s) first, then target(s)",arbitrary,alphabetical by register name,"control(s) first, then target(s)","E.g., qc.cx(0,1): qubit 0 is control, 1 is target; matrix forms follow this convention."
Which tool helps analyze whether two operations commute for optimization opportunities?,EquivalenceLibrary,CommutationChecker,BasisTranslator,SessionEquivalenceLibrary,CommutationChecker,CommutationChecker lets you check commutation relations useful for reordering/simplifying circuits.
"pauli_twirl_2q_gates(circuit, ...) primarily does what?",Adds Pauli-frame randomization around specified two-qubit gates,Converts to pulses,Counts CX gates,Performs error mitigation postprocessing,Adds Pauli-frame randomization around specified two-qubit gates,It generates twirled copies around gates like CX/CZ/ECR/iSWAP to shape coherent errors into stochastic ones.
"If you need the default equivalence relations for standard gates, use:",StandardEquivalenceLibrary,SessionEquivalenceLibrary,CommutationChecker,Target,StandardEquivalenceLibrary,StandardEquivalenceLibrary is the immutable base; SessionEquivalenceLibrary is the mutable global used by BasisTranslator.
Circuit-specific errors typically raise:,QiskitError,CircuitError,ValueError,RuntimeError,CircuitError,Most circuit functions raise CircuitError for Qiskit-specific misuse.
"Given qc.cx(0,2) in Qiskit, which is control and which is target?","control=2, target=0","control=0, target=2",both are controls,depends on register names,"control=0, target=2",Controls come first in argument order.
"ASCII: Identify the operation

q0: ─H─■──
        │
q1: ────X──","CX with q0 control, q1 target, preceded by H on q0",CZ with q1 control,SWAP,Measure on q1,"CX with q0 control, q1 target, preceded by H on q0",■ at q0 and X at q1 denotes CX; H on q0 precedes it.
The easiest way to build a custom one-off Gate with a known decomposition is to:,Subclass Gate and override __array__,Build a QuantumCircuit and call to_gate()/to_instruction(),Directly edit CircuitInstruction,Use ParameterVector only,Build a QuantumCircuit and call to_gate()/to_instruction(),"to_gate()/to_instruction() yields a Gate/Instruction whose definition is that circuit, accessible to the transpiler."
"When subclassing Instruction/Gate, the method to lazily populate its decomposition is:",_define(),__array__,compose(),assign_parameters(),_define(),Subclasses implement _define() to set the cached _definition (a QuantumCircuit).
