Question,Answer A,Answer B,Answer C,Answer D,Correct Answer Choice,Explanation
What exception type indicates visualization-specific problems in qiskit.visualization?,VisualizationError,PlotError,FigureError,MatplotlibError,1,"The module defines `VisualizationError`, a subclass of `QiskitError`."
"Given counts={'00':501,'11':499}, which call produces a 10x10 figure with a title and custom colors?","plot_histogram(counts, title='Result', figsize=(10,10), color=['crimson'])","plot_histogram(counts, legend=['Result'], size=(10,10), colors=['crimson'])","plot_histogram(counts, title='Result', size=(10,10), color_map='crimson')","plot_histogram(counts, title='Result', figure_size=(10,10), color=['crimson'])",1,"Valid kwargs: `title`, `figsize`, and `color`."
You want to compare two result sets on the same axes you already created in Matplotlib. Which is correct?,"ax = plt.axes(); plot_histogram([c1,c2], ax=ax, legend=['A','B'])","plot_histogram([c1,c2], axes=ax)","plot_histogram([c1,c2]).ax = ax","plot_histogram([c1,c2], figure=ax)",1,`ax` is the accepted kwarg for supplying an Axes.
"For a scheduled circuit, which visualization best surfaces gate durations, overlaps, and idles on each qubit timeline?",timeline_drawer,dag_drawer,circuit_drawer,plot_circuit_layout,1,`timeline_drawer` shows temporal scheduling.
Which call draws a per-qubit Bloch visualization of a Bell state prepared with H–CX?,state = Statevector(qc); plot_bloch_multivector(state),state = DensityMatrix(qc); plot_bloch_vector(state),plot_state_qsphere(qc),"plot_state_city([0,1;1,0])",1,Use `plot_bloch_multivector` with a state object.
You have a 2x2 complex numpy array representing a gate and want LaTeX markup. Use:,"array_to_latex(array, precision=2)",to_latex(array),latex_array(array),array_to_tex(array),1,`array_to_latex` converts arrays to LaTeX; you can set precision/prefix/suffix.
"When debugging a transpilation flow, which visualization helps verify pass ordering and staging?",pass_manager_drawer,dag_drawer,plot_gate_map,plot_distribution,1,`pass_manager_drawer` renders the PassManager and stages.
When would you prefer `dag_drawer` over `circuit_drawer`?,"When you need to analyze dependency structure and commutation, not just a schematic drawing.",When you need a prettier gate diagram.,When you want to view backend error rates.,When you want to save a PNG file.,1,`dag_drawer` exposes the dependency DAG; `circuit_drawer` is schematic.
"In `plot_state_qsphere`, how is phase information typically conveyed?",By color of the points/arcs on the sphere.,By bar height.,By labels only; no phase shown.,It is not displayed.,1,Qsphere uses color for phase and size for magnitude.
What additional data does `plot_error_map` typically need from the backend compared to `plot_gate_map`?,"Calibration/error metrics (e.g., readout error, gate error)",Counts objects,Statevectors,QASM source,1,"It overlays errors, so it needs calibration metrics."
`visualize_transition` supports animations for which scope of systems?,A single qubit under a sequence of gates,Multiple qubits with control flow,Only classical bits,Backends and devices,1,It is specifically for single-qubit transitions.
